time,open,high,low,close,Volume
1737381600,39005,39110,38960,39080,26865
1737385200,39080,39095,38950,39005,21019
1737388800,39010,39045,38965,38970,8585
1737392400,38970,38995,38825,38965,22531
1737396000,38960,38970,38940,38950,5040
1737399600,38950,38955,38940,38950,2202
1737403200,38945,38975,38935,38955,2727
1737406800,38950,38950,38950,38950,685
1737414000,39080,39205,39035,39170,34546
1737417600,39170,39250,38705,38715,152588
1737421200,38715,38985,38635,38915,102806
1737424800,38915,39000,38900,38915,25638
1737428400,38920,39060,38900,38980,37186
1737432000,38985,38995,38905,38910,24461
1737435600,38915,38965,38915,38955,24699
1737439200,38955,39035,38955,38960,32367
1737446400,39020,39075,38980,39060,20318
1737450000,39055,39120,39045,39115,16329
1737453600,39120,39150,39090,39095,10921
1737457200,39095,39095,39015,39020,14303
1737460800,39020,39070,39005,39050,11028
1737464400,39050,39075,39025,39065,10583
1737468000,39070,39110,38995,39030,30256
1737471600,39030,39090,38955,39075,25733
1737475200,39070,39160,39045,39150,17970
1737478800,39150,39235,39110,39230,13140
1737482400,39225,39265,39200,39235,8613
1737486000,39235,39255,39185,39230,6585
1737489600,39225,39270,39220,39265,6214
1737493200,39270,39270,39270,39270,1003
1737500400,39350,39390,39315,39335,21677
1737504000,39340,39585,39340,39565,108587
1737507600,39560,39645,39515,39640,57478
1737511200,39635,39650,39520,39540,32198
1737514800,39535,39655,39520,39615,34299
1737518400,39615,39655,39510,39650,45555
1737522000,39645,39705,39615,39650,41099
1737525600,39650,39675,39580,39580,40130
1737532800,39580,39610,39505,39545,22793
1737536400,39540,39620,39540,39600,11023
1737540000,39600,39660,39590,39645,9668
1737543600,39640,39670,39610,39670,12757
1737547200,39670,39735,39665,39700,18101
1737550800,39700,39765,39700,39760,10520
1737554400,39765,39845,39720,39805,26132
1737558000,39810,39875,39755,39835,21167
1737561600,39835,39950,39810,39935,14798
1737565200,39930,39935,39870,39870,5639
1737568800,39870,39920,39865,39885,4415
1737572400,39885,39910,39870,39895,3303
1737576000,39890,39890,39785,39805,6557
1737579600,39805,39805,39805,39805,1052
1737586800,39795,39800,39730,39795,15938
1737590400,39795,39900,39675,39770,97452
1737594000,39770,39900,39725,39830,47362
1737597600,39835,39880,39745,39860,38967
1737601200,39855,39930,39835,39920,40395
1737604800,39925,40005,39915,39985,38823
