time,open,high,low,close,Volume
1623137400,29065,29130,28835,28840,496038
1623223800,28865,29015,28765,28980,296201
1623310200,28865,29105,28785,28880,685758
1623396600,28910,29175,28885,29140,436167
1623655800,29145,29440,29090,29410,581434
1623742200,29410,29415,29220,29250,463963
1623828600,29250,29390,28820,29000,779638
1623915000,29035,29170,28910,28930,666968
1624001400,28915,28920,27715,28020,1389865
1624260600,28090,28855,28080,28750,1015649
1624347000,28685,28965,28590,28810,638829
1624433400,28805,28895,28660,28800,493304
1624519800,28800,29120,28790,29040,482020
1624606200,28980,29080,28945,28950,391758
1624865400,28980,29010,28695,28760,549290
1624951800,28840,29000,28730,28780,501517
1625038200,28740,28830,28520,28630,650183
1625124600,28730,28830,28555,28760,572295
1625211000,28780,28825,28555,28570,495980
1625470200,28530,28735,28490,28610,409539
1625556600,28625,28635,28110,28380,909325
1625643000,28420,28475,28090,28150,785500
1625729400,27880,28210,27385,28210,1526174
1625815800,28115,28585,28085,28500,764286
1626075000,28490,28840,28385,28655,550071
1626161400,28660,28690,28440,28540,564254
1626247800,28555,28675,28220,28220,674035
1626334200,28120,28265,27820,27930,935114
1626420600,27965,28100,27465,27600,907535
1626679800,27565,27630,27050,27410,1273192
1626766200,27500,27865,27315,27560,977823
1626852600,27625,28155,27575,27830,732240
1627284600,27785,28025,27640,27910,580606
1627371000,27660,27845,27355,27530,971383
1627457400,27560,27890,27540,27810,676135
1627543800,27900,27930,27250,27350,886652
1627630200,27370,27820,27310,27740,776859
1627889400,27785,27820,27465,27580,648934
1627975800,27590,27680,27410,27590,576469
1628062200,27580,27725,27435,27680,560254
1628148600,27705,27905,27650,27840,511382
1628235000,27830,28120,27785,27850,645488
1628580600,27890,28130,27850,28070,442304
1628667000,28070,28265,27985,28015,576596
1628753400,28010,28115,27910,27990,492609
1628839800,27980,28070,27380,27480,663361
1629099000,27520,27740,27340,27360,687023
1629185400,27290,27665,27245,27600,804537
1629271800,27540,27635,27205,27210,697092
1629358200,27130,27315,26915,27010,1239727
1629444600,26880,27535,26850,27520,804206
1629703800,27495,27800,27435,27740,514920
1629790200,27810,27880,27640,27740,541795
1629876600,27770,27830,27650,27690,370093
