time,open,high,low,close,Volume
1752667200,39600,39650,39585,39640,10672
1752670800,39640,39660,39520,39535,21585
1752674400,39535,39570,39420,39460,33520
1752678000,39460,39530,39130,39445,77724
1752681600,39445,39495,39380,39480,19403
1752685200,39475,39500,39450,39455,7173
1752688800,39455,39565,39440,39560,5483
1752692400,39560,39600,39545,39560,5848
1752696000,39560,39565,39535,39545,2227
1752699600,39550,39550,39550,39550,613
1752706800,39475,39520,39405,39435,15351
1752710400,39430,39530,39350,39500,73980
1752714000,39505,39610,39490,39555,42805
1752717600,39555,39625,39520,39620,18214
1752721200,39625,39780,39580,39775,34736
1752724800,39770,39775,39680,39715,23170
1752728400,39715,39830,39690,39800,40774
1752732000,39800,39935,39800,39935,50697
1752739200,39870,39905,39830,39880,16989
1752742800,39880,39885,39855,39865,5772
1752746400,39865,39880,39830,39835,7416
1752750000,39835,39850,39800,39825,8040
1752753600,39825,39950,39820,39880,16275
1752757200,39885,39970,39820,39935,20366
1752760800,39935,39950,39855,39925,14057
1752764400,39925,40015,39915,40005,13449
1752768000,40005,40035,40005,40030,6521
1752771600,40030,40080,40015,40075,6501
1752775200,40075,40110,40055,40090,6273
1752778800,40090,40105,40025,40050,6734
1752782400,40055,40065,40040,40050,2452
1752786000,40065,40065,40065,40065,914
1752793200,40060,40135,40050,40100,16303
1752796800,40095,40095,39880,39885,81340
1752800400,39885,39930,39765,39815,48468
1752804000,39815,39815,39750,39790,26506
1752807600,39790,39825,39755,39825,23835
1752811200,39820,39855,39735,39805,28155
1752814800,39810,39830,39775,39790,21178
1752818400,39790,39850,39780,39835,25882
1752825600,39860,39865,39795,39820,12930
1752829200,39820,39845,39805,39820,4551
1752832800,39820,39825,39750,39765,7772
1752836400,39770,39785,39745,39755,5402
1752840000,39755,39770,39715,39750,7857
1752843600,39745,39785,39720,39730,12737
1752847200,39730,39765,39680,39690,17969
1752850800,39685,39740,39680,39735,8727
1752854400,39735,39745,39665,39675,8540
1752858000,39680,39680,39630,39645,7626
1752861600,39645,39675,39630,39660,3869
1752865200,39665,39710,39660,39695,4731
1752868800,39700,39710,39685,39705,2297
1752872400,39730,39730,39730,39730,1150
1753052400,39815,39835,39765,39820,7617
1753056000,39820,39850,39715,39750,18830
1753059600,39750,39795,39735,39770,8934
1753063200,39770,39805,39760,39790,4358
1753066800,39790,39810,39785,39805,3875
1753070400,39810,39845,39810,39835,5516
1753074000,39840,39860,39810,39815,7213
1753077600,39815,39830,39800,39830,5775
1753084800,39840,39860,39775,39795,7066
1753088400,39795,39815,39770,39780,2913
1753092000,39780,39780,39740,39755,3360
1753095600,39750,39785,39745,39770,3086
1753099200,39770,39770,39710,39710,4499
1753102800,39715,39820,39670,39805,15832
1753106400,39810,39925,39795,39910,17563
1753110000,39915,39925,39870,39890,8939
1753113600,39890,39895,39850,39885,6119
1753117200,39880,39905,39865,39880,2297
1753120800,39880,39900,39850,39855,2616
1753124400,39855,39860,39785,39800,5737
1753128000,39800,39830,39785,39825,1893
1753131600,39820,39820,39820,39820,587
1753138800,39780,39820,39765,39790,11103
1753142400,39790,40270,39790,39890,146039
1753146000,39885,39985,39855,39930,42156
1753149600,39930,39945,39795,39810,19218
1753153200,39805,39830,39610,39700,45598
1753156800,39705,39730,39580,39655,48337
1753160400,39655,39715,39640,39700,24389
1753164000,39700,39760,39665,39745,27982
1753171200,39740,39805,39695,39750,14442
1753174800,39750,39755,39700,39700,7668
