time,open,high,low,close,Volume
1737403200,38945,39205,38935,39170,37958
1737417600,39170,39250,38635,38980,318218
1737432000,38985,39035,38905,38960,81527
1737446400,39020,39150,38980,39020,61871
1737460800,39020,39110,38955,39075,77600
1737475200,39070,39265,39045,39230,46308
1737489600,39225,39390,39220,39335,28894
1737504000,39340,39655,39340,39615,232562
1737518400,39615,39705,39510,39580,126784
1737532800,39580,39670,39505,39670,56241
1737547200,39670,39875,39665,39835,75920
1737561600,39835,39950,39810,39895,28155
1737576000,39890,39890,39730,39795,23547
1737590400,39795,39930,39675,39920,224176
1737604800,39925,40040,39885,39885,118391
1737619200,39860,39900,39785,39870,45320
1737633600,39875,39880,39705,39805,57574
1737648000,39805,39845,39740,39830,26240
1737662400,39830,40030,39800,39980,26691
1737676800,39985,40405,39980,40130,265459
1737691200,40125,40140,39815,39940,176222
1737705600,40040,40200,39885,40180,76271
1737720000,40185,40615,40180,40470,116888
1737734400,40465,40615,40445,40545,48147
1737748800,40540,40575,40450,40485,10002
1737932400,40290,40360,39680,39735,316662
1737946800,39735,39865,39480,39480,198188
1737964800,39410,39450,38655,38870,240014
1737979200,38870,39195,38860,39085,207260
1737993600,39085,39115,38910,38985,83127
1738008000,38985,39170,38970,39165,40402
1738022400,39165,39375,38885,39160,323401
1738036800,39160,39190,38900,39070,136541
1738051200,39170,39245,39050,39155,101360
1738065600,39155,39360,38940,39290,121563
1738080000,39295,39430,39120,39425,75702
1738094400,39420,39435,39330,39370,24854
1738108800,39370,39455,39140,39355,216041
1738123200,39350,39590,39245,39590,140598
1738137600,39555,39615,39425,39540,64127
1738152000,39535,39535,39220,39230,80552
1738166400,39235,39370,39120,39340,68406
1738180800,39335,39390,39235,39290,29578
1738195200,39290,39605,39210,39560,216182
1738209600,39560,39580,39395,39420,90535
1738224000,39480,39550,39430,39470,54832
1738238400,39470,39540,39350,39410,102490
1738252800,39405,39670,39380,39665,58706
1738267200,39665,39710,39490,39625,39722
1738281600,39630,39665,39445,39635,199277
1738296000,39635,39680,39550,39630,94877
1738310400,39645,39695,39585,39690,47682
1738324800,39695,39725,39545,39655,67019
1738339200,39660,39825,39385,39470,109894
1738353600,39465,39465,39335,39355,16294
1738537200,38615,38870,38375,38455,420057
1738551600,38450,38600,38390,38600,229152
1738569600,38625,38805,38600,38620,127683
1738584000,38625,39105,38470,39095,236362
1738598400,39090,39155,38800,39050,157526
1738612800,39050,39290,38900,39250,34612
1738627200,39250,39310,38925,38950,205816
1738641600,38950,39030,38575,38770,223669
1738656000,38820,38915,38690,38885,83951
1738670400,38885,39070,38865,39030,87148
1738684800,39030,39130,38965,39055,55430
1738699200,39060,39110,38950,38975,25494
1738713600,38980,39115,38680,38755,223480
1738728000,38755,38915,38720,38740,132080
1738742400,38770,38835,38640,38780,73151
1738756800,38780,38880,38565,38705,95494
1738771200,38705,38895,38665,38880,43490
1738785600,38875,38960,38870,38895,26990
1738800000,38900,39190,38845,39010,229245
1738814400,39010,39095,38960,39090,95148
1738828800,39070,39160,39000,39020,64311
1738843200,39025,39105,38990,39015,76924
1738857600,39020,39125,38830,38880,42810
1738872000,38875,38985,38870,38905,21263
1738886400,38905,39010,38750,38830,208790
1738900800,38830,38900,38800,38840,93207
1738915200,38870,38925,38825,38915,47622
1738929600,38910,38945,38515,38620,145315
1738944000,38620,38630,38345,38445,124821
1738958400,38440,38440,38370,38385,10720
1739142000,38550,38855,38535,38750,190292
1739156400,38750,38900,38710,38760,106200
1739174400,38820,38895,38810,38880,36043
1739188800,38880,38930,38785,38880,57846
1739203200,38880,38965,38840,38935,28151
1739217600,38935,38945,38880,38925,5226
1739228400,38840,38885,38765,38785,51490
1739242800,38785,38820,38780,38790,16618
1739260800,38785,38865,38760,38860,28961
1739275200,38860,39060,38810,39025,62674
1739289600,39025,39080,38965,39060,41511
1739304000,39060,39125,39035,39045,27963
1739318400,39040,39110,38800,38885,198351
1739332800,38885,39005,38850,39000,86871
1739347200,39010,39030,38895,39025,48276
1739361600,39025,39050,38760,39025,122732
1739376000,39025,39225,38950,39185,67413
1739390400,39185,39245,39135,39190,28014
1739404800,39190,39540,39110,39475,214672
1739419200,39475,39595,39440,39440,116475
1739433600,39415,39420,39270,39325,66900
1739448000,39325,39500,39255,39410,86379
1739462400,39410,39465,39285,39435,49971
1739476800,39435,39510,39410,39510,30988
1739491200,39510,39580,39200,39265,210090
1739505600,39270,39270,39110,39110,103437
1739520000,39155,39225,39110,39195,49322
1739534400,39195,39240,39055,39080,58475
1739548800,39085,39145,38995,39100,30021
1739563200,39100,39135,39085,39095,5189
1739746800,39150,39235,38985,39120,156675
1739761200,39120,39220,39090,39200,109211
1739779200,39180,39205,39135,39180,35649
1739793600,39180,39200,39135,39160,20919
1739808000,39160,39185,39150,39160,10940
1739822400,39160,39175,39120,39150,17074
1739836800,39150,39480,39135,39480,233332
1739851200,39475,39500,39280,39300,90773
1739865600,39325,39355,39265,39275,40402
1739880000,39275,39300,39190,39260,58234
1739894400,39255,39290,39165,39245,41221
1739908800,39240,39290,39190,39205,24399
1739923200,39205,39285,38985,39095,211979
1739937600,39100,39185,39055,39170,70985
1739952000,39180,39180,38985,39005,47738
1739966400,39005,39050,38755,38820,88472
1739980800,38820,38995,38820,38980,35730
1739995200,38980,38995,38825,38910,21491
1740009600,38915,38955,38495,38495,263716
1740024000,38495,38710,38450,38710,133340
1740038400,38730,38805,38700,38720,55950
1740052800,38725,38760,38385,38410,109116
1740067200,38405,38565,38385,38550,50076
1740081600,38550,38595,38505,38560,21880
1740096000,38555,38805,38445,38640,242870
1740110400,38640,38800,38600,38790,77601
1740124800,38805,38865,38760,38820,56075
1740139200,38820,38830,38495,38530,105299
1740153600,38530,38565,38050,38145,84475
1740168000,38145,38205,38100,38100,14435
1740351600,38255,38365,38080,38285,84910
1740366000,38285,38375,38225,38345,49895
1740384000,38355,38380,38160,38345,63466
1740398400,38345,38355,37870,37975,100945
1740412800,37975,38270,37970,38160,55563
1740427200,38165,38165,38005,38105,28940
1740441600,38100,38475,38075,38345,261977
1740456000,38345,38380,38150,38240,118730
1740470400,38055,38240,37995,38230,82133
1740484800,38230,38330,37670,37870,158701
1740499200,37875,38115,37710,38025,90962
1740513600,38025,38130,37945,38090,38848
1740528000,38080,38105,37725,37810,227026
1740542400,37810,38220,37780,38220,117155
1740556800,38205,38245,38110,38205,61670
1740571200,38205,38435,38110,38415,111617
1740585600,38420,38475,37920,38000,85980
1740600000,38005,38310,37985,38290,33470
1740614400,38285,38390,38090,38135,219320
1740628800,38135,38320,38075,38300,111416
1740643200,38250,38395,38170,38385,57364
1740657600,38385,38400,37840,38100,177661
1740672000,38110,38255,37735,37785,84149
1740686400,37790,37790,37585,37690,52297
1740700800,37685,37725,36840,37020,372947
1740715200,37020,37215,36940,37100,202975
1740729600,37230,37410,37190,37355,92207
1740744000,37350,37545,37040,37490,149897
1740758400,37490,37525,37105,37370,114234
1740772800,37375,37550,37345,37550,16724
1740956400,37685,37790,37370,37630,243458
1740970800,37630,37890,37570,37860,188414
1740988800,37820,38100,37635,38095,102233
1741003200,38095,38260,37855,37995,184335
1741017600,37995,38110,37605,37615,112921
1741032000,37615,37615,37095,37335,89106
1741046400,37335,37430,36810,37145,333169
1741060800,37145,37380,36990,37355,183692
1741075200,37310,37360,36885,36945,117545
1741089600,36945,36945,36260,36465,287953
1741104000,36460,37400,36355,37370,193960
1741118400,37365,37560,36885,37325,69657
1741132800,37330,37605,37170,37575,289061
1741147200,37570,37610,37350,37425,122446
1741161600,37410,37605,37335,37420,101894
1741176000,37420,37485,37090,37395,203466
1741190400,37395,37840,37140,37715,123207
1741204800,37720,37805,37620,37665,29933
1741219200,37660,37885,37580,37770,200936
1741233600,37770,37820,37680,37750,94549
1741248000,37610,37630,37025,37225,138844
1741262400,37230,37440,36965,37355,179493
1741276800,37360,37460,36835,36920,136273
1741291200,36925,37085,36895,37035,35914
1741305600,37040,37135,36850,36920,234496
1741320000,36925,36965,36770,36770,133153
1741334400,36860,37025,36775,36990,85722
1741348800,36985,37100,36555,36775,233552
1741363200,36775,37250,36465,37135,171460
1741377600,37135,37260,37050,37260,23765
1741561200,37000,37150,36695,37120,221716
1741575600,37120,37120,36930,37075,123770
1741593600,37010,37050,36640,36700,129401
1741608000,36700,36740,36335,36470,187958
1741622400,36465,36595,36165,36480,109796
1741636800,36485,36500,36190,36310,31738
1741651200,36315,36495,35975,36395,295235
1741665600,36395,36805,36350,36760,133429
1741680000,36730,36930,36665,36870,102556
1741694400,36870,36870,36295,36470,214052
1741708800,36470,36820,36105,36515,118625
1741723200,36520,36730,36480,36730,19947
1741737600,36730,36955,36650,36765,158225
1741752000,36765,36930,36745,36800,68394
1741766400,36850,37035,36780,36980,58637
1741780800,36980,37220,36770,37085,155030
1741795200,37085,37220,36990,37095,57566
1741809600,37095,37195,37000,37130,11808
1741824000,37130,37330,36960,36975,67486
1741838400,36975,37050,36750,36750,34907
1741852800,36515,36790,36460,36605,113980
